"","df","BIC","delta"
"Phylo_AS_W_model2.POLY",8,727.976107962839,0
"Phylo_AS_W_model2int",8,730.90117260758,2.92506
"Phylo_AS_W_model2",7,735.298987311795,7.32288
"Phylo_AS_W_model1intPOLY",9,735.447260572618,7.47115
"Phylo_AS_W_model2intPOLY",10,737.850051780842,9.87394
"Phylo_AS_W_model4",7,738.332498276581,10.35639
"Phylo_AS_W_model1int",7,739.05463210711,11.07852
"Phylo_AS_W_model1",6,739.405923149784,11.42982
"Phylo_AS_W_model5intPOLY",10,740.152073223932,12.17597
"Phylo_AS_W_model5",7,743.09869787814,15.12259
"Phylo_AS_W_model5int",8,743.624575540245,15.64847
"Phylo_AS_W_model4int",8,744.206247420906,16.23014
"Phylo_AS_W_model4.POLY",8,744.756470808576,16.78036
"Phylo_AS_W_model1.POLY",7,745.636383140502,17.66028
"Phylo_AS_W_model4intPOLY",10,748.286574954406,20.31047
"Phylo_AS_W_model5.POLY",8,749.454797367407,21.47869
"Phylo_AS_W_model0intPOLY",8,749.71593009309,21.73982
"Phylo_AS_W_model0int",6,755.32894681539,27.35284
"Phylo_AS_W_model0",5,759.004216304055,31.02811
"Phylo_AS_W_model6",8,762.171117862884,34.19501
"Phylo_AS_W_model0.POLY",6,764.576987888341,36.60088
"Phylo_AS_W_model6int",9,765.655069213721,37.67896
"Phylo_AS_W_model6intPOLY",11,765.893578772778,37.91747
"Phylo_AS_W_model6.POLY",9,768.246354617236,40.27025
