"5 %","95 %","var","MR","temp_cat"
0.310892240381551,0.413904742395047,".sig01","MMR","ER"
0.194536779942285,0.496073151701751,".sig02","MMR","ER"
0.289118675282067,0.526852540221777,".sig03","MMR","ER"
0.193933177087559,0.20265988842089,".sigma","MMR","ER"
2.23264440236675,6.23780038652973,"(Intercept)","MMR","ER"
1.51208548666369,2.62122045160533,"lnBWg","MMR","ER"
-1.91036975354205,-0.726723070393364,"tempTestK1000","MMR","ER"
-0.515779119198258,-0.233244419147282,"lnBWg:tempTestK1000","MMR","ER"
0.205823716126997,0.27649761058443,".sig01","RMR","ER"
0.133259237066426,0.180507471652236,".sig02","RMR","ER"
1.55004351694616,2.37439873093791,".sig03","RMR","ER"
0.262705797321827,0.271686679775787,".sigma","RMR","ER"
13.6440473451384,17.0331936561305,"(Intercept)","RMR","ER"
0.787468226555166,0.838434369605348,"lnBWg","RMR","ER"
-5.39289110696669,-4.93078737905163,"tempTestK1000","RMR","ER"
0.108206305750372,0.162459787544899,".sig01","FAS","ER"
0.0514654623447312,0.16443483508057,".sig02","FAS","ER"
0.194732603603662,0.314797149013725,".sig03","FAS","ER"
0.234216204558414,0.245768857812953,".sigma","FAS","ER"
1.9162658302013,2.20742485864977,"(Intercept)","FAS","ER"
-0.143027775615617,0.0482448652272617,"lnBWg","FAS","ER"
-0.0329116373497293,-0.0226543891690752,"tempTest","FAS","ER"
0.129945772707396,0.193284646329154,".sig01","AS","ER"
0.130592962612279,0.296204667962391,".sig02","AS","ER"
0.340404799531168,0.518354263877393,".sig03","AS","ER"
0.251475653463658,0.263927842721295,".sigma","AS","ER"
5.8338579497561,9.06359660610865,"(Intercept)","AS","ER"
0.562806109963202,0.92734482130392,"lnBWg","AS","ER"
-2.79577201787973,-1.83951093140561,"tempTestK1000","AS","ER"
0.0670795702502602,0.170150277149349,".sig01","MMR","W"
0.109000011461675,0.384615059312967,".sig02","MMR","W"
0.196769108656009,0.51073970548124,".sig03","MMR","W"
0.199632767559354,0.21661985217002,".sigma","MMR","W"
5.3591191670177,8.6791123996414,"(Intercept)","MMR","W"
0.544962440069529,0.950722011731266,"lnBWg","MMR","W"
-2.57089563739201,-1.57584881842236,"tempTestK1000","MMR","W"
0.0611260454155342,0.128316632349483,".sig01","RMR","W"
1.00887668619855,1.75103394147668,".sig02","RMR","W"
0.207378121057064,0.224282193864522,".sigma","RMR","W"
18.4669551718288,22.5791457368824,"(Intercept)","RMR","W"
0.809800038414728,0.865431707245405,"lnBWg","RMR","W"
-7.02758213626243,-5.98459396475707,"tempTestK1000","RMR","W"
0.0989368371654249,0.235906079146858,".sig01","FAS","W"
0.019896904403404,0.094365480304764,".sig02","FAS","W"
0.419570946697783,1.60276804939389,".sig03","FAS","W"
0.24268541304156,0.267544699299246,".sigma","FAS","W"
-1.04910919885391,2.00942719980792,"(Intercept)","FAS","W"
-0.100937555706009,-0.0214879161859155,"lnBWg","FAS","W"
-23.2893723727045,-5.59288378664539,"poly(tempTest, 2)1","FAS","W"
-6.25062664856216,-1.82395093887527,"poly(tempTest, 2)2","FAS","W"
0.0895445737944095,0.250633334984762,".sig01","AS","W"
0,0.237256810051221,".sig02","AS","W"
0.334580268214027,0.89161748998878,".sig03","AS","W"
0.358405502464645,0.392532091532507,".sigma","AS","W"
-6.93986867246618,-0.54389365844569,"(Intercept)","AS","W"
0.594055746394763,0.888115857450682,"lnBWg","AS","W"
0.0308149836433886,1.95272995923779,"tempTestK1000","AS","W"
