"","Piaractus mesopotamicus","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Salvelinus alpinus","Amphistichus argenteus","Oreochromis niloticus","Lates niloticus","Lates calcarifer","Coryphaena hippurus","Dicentrarchus labrax","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Perca fluviatilis","Gadus macrocephalus","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Piaractus mesopotamicus",1,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.0588235294117647,0
"Oncorhynchus mykiss",0.117647058823529,1,0.941176470588235,0.88235294117647,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.0588235294117647,0
"Oncorhynchus tshawytscha",0.117647058823529,0.941176470588235,1,0.88235294117647,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.0588235294117647,0
"Salvelinus alpinus",0.117647058823529,0.88235294117647,0.88235294117647,1,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.0588235294117647,0
"Amphistichus argenteus",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,1,0.941176470588235,0.764705882352941,0.764705882352941,0.764705882352941,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Oreochromis niloticus",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.941176470588235,1,0.764705882352941,0.764705882352941,0.764705882352941,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Lates niloticus",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.764705882352941,0.764705882352941,1,0.941176470588235,0.88235294117647,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Lates calcarifer",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.764705882352941,0.764705882352941,0.941176470588235,1,0.88235294117647,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Coryphaena hippurus",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.764705882352941,0.764705882352941,0.88235294117647,0.88235294117647,1,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Dicentrarchus labrax",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,1,0.823529411764706,0.823529411764706,0.823529411764706,0.764705882352941,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Halichoeres melanurus",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.823529411764706,1,0.941176470588235,0.88235294117647,0.764705882352941,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Halichoeres miniatus",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.823529411764706,0.941176470588235,1,0.88235294117647,0.764705882352941,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Thalassoma amblycephalum",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.823529411764706,0.88235294117647,0.88235294117647,1,0.764705882352941,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Perca fluviatilis",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.764705882352941,0.764705882352941,0.764705882352941,0.764705882352941,1,0.352941176470588,0.352941176470588,0.0588235294117647,0
"Gadus macrocephalus",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,1,0.941176470588235,0.0588235294117647,0
"Boreogadus saida",0.117647058823529,0.176470588235294,0.176470588235294,0.176470588235294,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.941176470588235,1,0.0588235294117647,0
"Acipenser medirostris",0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,1,0
"Hemiscyllium ocellatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
